id	name	species	type.0	type.1	height	weight	abilities.0	abilities.1	stats.hp	stats.attack	stats.defense	stats.sp_atk	stats.sp_def	stats.speed	stats.total	evolution.0	evolution.1	evolution.2	description	gen	abilities.2	evolution.3	abilities.3	abilities.4	abilities.5
001	Bulbasaur	Seed Pokemon	Grass	Poison	0.71m	6.9 kg	Overgrow	Chlorophyll	45	49	49	65	65	45	318	Bulbasaur	Ivysaur	Venusaur	For some time after its birth, it grows by gaining nourishment from the seed on its back.	1					
427	Buneary	Rabbit Pokemon	Normal		0.4m	5.5 kg	Run Away	Klutz	55	66	44	44	56	85	350				Description not available yet	4	Limber				
659	Bunnelby	Digging Pokemon	Normal		0.4m	5 kg	Pickup	Cheek Pouch	38	36	38	32	36	57	237				Description not available yet	6	Huge Power				
412	Burmy	Bagworm Pokemon	Bug		0.2m	3.4 kg	Shed Skin	Overcoat	40	29	45	29	45	36	224				Description not available yet	4					
012	Butterfree	Butterfly Pokemon	Bug	Flying	1.09m	32.0 kg	Compound Eyes	Tinted Lens	60	45	50	90	80	70	395	Caterpie	Metapod	Butterfree	It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.	1					
794	Buzzwole	Swollen Pokemon	Bug	Fighting	2.4m	333.6 kg	Beast Boost		107	139	139	53	53	79	570				Description not available yet	7					
331	Cacnea	Cactus Pokemon	Grass		0.4m	51.3 kg	Sand Veil	Water Absorb	50	85	40	85	40	35	335				Description not available yet	3					
332	Cacturne	Scarecrow Pokemon	Grass	Dark	1.3m	77.4 kg	Sand Veil	Water Absorb	70	115	60	115	60	55	475				Description not available yet	3					
323	Camerupt	Eruption Pokemon	Fire	Ground	1.9m	220 kg	Magma Armor	Solid Rock	70	120	100	145	105	20	560				Description not available yet	3	Anger Point				
703	Carbink	Jewel Pokemon	Rock	Fairy	0.3m	5.7 kg	Clear Body	Sturdy	50	50	150	50	150	50	500				Description not available yet	6					
455	Carnivine	Bug Catcher Pokemon	Grass		1.4m	27 kg	Levitate		74	100	72	90	72	46	454				Description not available yet	4					
565	Carracosta	Prototurtle Pokemon	Water	Rock	1.2m	81 kg	Solid Rock	Sturdy	74	108	133	83	65	32	495				Description not available yet	5	Swift Swim				
318	Carvanha	Savage Pokemon	Water	Dark	0.8m	20.8 kg	Rough Skin	Speed Boost	45	90	20	65	20	65	305				Description not available yet	3					
268	Cascoon	Cocoon Pokemon	Bug		0.7m	11.5 kg	Shed Skin		50	35	55	25	25	15	205				Description not available yet	3					
351	Castform	Weather Pokemon	Normal		0.3m	0.8 kg	Forecast		70	70	70	70	70	70	420				Description not available yet	3					
010	Caterpie	Worm Pokemon	Bug		0.30m	2.9 kg	Shield Dust	Run Away	45	30	35	20	20	45	195	Caterpie	Metapod	Butterfree	It releases a stench from its red antenna to repel enemies. It grows by molting repeatedly.	1					
251	Celebi	Time Travel Pokemon	Psychic	Grass	0.6m	5 kg	Natural Cure		100	100	100	100	100	100	600				Description not available yet	2					
797	Celesteela	Launch Pokemon	Steel	Flying	9.2m	999.9 kg	Beast Boost		97	101	103	107	101	61	570				Description not available yet	7					
609	Chandelure	Luring Pokemon	Ghost	Fire	1m	34.3 kg	Flash Fire	Flame Body	60	55	90	145	90	80	520				Description not available yet	5	Infiltrator				
113	Chansey	Egg Pokemon	Normal		1.09m	34.6 kg	Natural Cure	Serene Grace	250	5	5	35	105	50	450	Chansey			A kindly Pokemon that lays highly nutritious eggs and shares them with injured Pokmon or people.	1	Healer				
006	Charizard	Flame Pokemon	Fire	Flying	1.70m	90.5 kg	Blaze	Solar Power	78	84	78	109	85	100	534	Charmander	Charmeleon	Charizard	It is said that Charizards fire burns hotter if it has experienced harsh battles.	1					
737	Charjabug	Battery Pokemon	Bug	Electric	0.5m	10.5 kg	Battery		57	82	95	55	75	36	400				Description not available yet	7					
004	Charmander	Lizard Pokemon	Fire		0.61m	8.5 kg	Blaze	Solar Power	39	52	43	60	50	65	309	Charmander	Charmeleon	Charizard	The fire on the tip of its tail is a measure of its life. If healthy, its tail burns intensely.	1					
005	Charmeleon	Flame Pokemon	Fire		1.09m	19.0 kg	Blaze	Solar Power	58	64	58	80	65	80	405	Charmander	Charmeleon	Charizard	In the rocky mountains where Charmeleon live, their fiery tails shine at night like stars.	1					
441	Chatot	Music Note Pokemon	Normal	Flying	0.5m	1.9 kg	Keen Eye	Tangled Feet	76	65	45	92	42	91	411				Description not available yet	4	Big Pecks				
421	Cherrim	Blossom Pokemon	Grass		0.5m	9.3 kg	Flower Gift		70	60	70	87	78	85	450				Description not available yet	4					
420	Cherubi	Cherry Pokemon	Grass		0.4m	3.3 kg	Chlorophyll		45	35	45	62	53	35	275				Description not available yet	4					
652	Chesnaught	Spiny Armor Pokemon	Grass	Fighting	1.6m	90 kg	Overgrow	Bulletproof	88	107	122	74	75	64	530				Description not available yet	6					
650	Chespin	Spiky Nut Pokemon	Grass		0.4m	9 kg	Overgrow	Bulletproof	56	61	65	48	45	38	313				Description not available yet	6					
152	Chikorita	Leaf Pokemon	Grass		0.9m	6.4 kg	Overgrow	Leaf Guard	45	49	65	49	65	45	318				Description not available yet	2					
390	Chimchar	Chimp Pokemon	Fire		0.5m	6.2 kg	Blaze	Iron Fist	44	58	44	58	44	61	309				Description not available yet	4					
358	Chimecho	Wind Chime Pokemon	Psychic		0.6m	1 kg	Levitate		75	50	80	95	90	65	455				Description not available yet	3					
170	Chinchou	Angler Pokemon	Water	Electric	0.5m	12 kg	Volt Absorb	Illuminate	75	38	38	56	56	67	330				Description not available yet	2	Water Absorb				
433	Chingling	Bell Pokemon	Psychic		0.2m	0.6 kg	Levitate		45	30	50	65	50	45	285				Description not available yet	4					
573	Cinccino	Scarf Pokemon	Normal		0.5m	7.5 kg	Cute Charm	Technician	75	95	60	65	60	115	470				Description not available yet	5	Skill Link				
366	Clamperl	Bivalve Pokemon	Water		0.4m	52.5 kg	Shell Armor	Rattled	35	64	85	74	55	32	345				Description not available yet	3					
692	Clauncher	Water Gun Pokemon	Water		0.5m	8.3 kg	Mega Launcher		50	53	62	58	63	44	330				Description not available yet	6					
693	Clawitzer	Howitzer Pokemon	Water		1.3m	35.3 kg	Mega Launcher		71	73	88	120	89	59	500				Description not available yet	6					
344	Claydol	Clay Doll Pokemon	Ground	Psychic	1.5m	108 kg	Levitate		60	70	105	70	120	75	500				Description not available yet	3					
036	Clefable	Fairy Pokemon	Fairy		1.30m	40.0 kg	Cute Charm	Magic Guard	95	70	73	95	90	60	483	Cleffa	Clefairy	Clefable	Their ears are sensitive enough to hear a pin drop from over a mile away, so theyre usually found in quiet places.	1	Unaware				
035	Clefairy	Fairy Pokemon	Fairy		0.61m	7.5 kg	Cute Charm	Magic Guard	70	45	48	60	65	35	323	Cleffa	Clefairy	Clefable	On nights with a full moon, Clefairy gather from all over and dance. Bathing in moonlight makes them float.	1	Friend Guard				
173	Cleffa	Star Shape Pokemon	Fairy		0.3m	3 kg	Cute Charm	Magic Guard	50	25	28	45	55	15	218				Description not available yet	2	Friend Guard				
091	Cloyster	Bivalve Pokemon	Water	Ice	1.50m	132.5 kg	Shell Armor	Skill Link	50	95	180	85	45	70	525	Shellder	Cloyster		It fights by keeping its shell tightly shut for protection and by shooting spikes to repel foes.	1	Overcoat				
638	Cobalion	Iron Will Pokemon	Steel	Fighting	2.1m	250 kg	Justified		91	90	129	90	72	108	580				Description not available yet	5					
563	Cofagrigus	Coffin Pokemon	Ghost		1.7m	76.5 kg	Mummy		58	50	145	95	105	30	483				Description not available yet	5					
415	Combee	Tiny Bee Pokemon	Bug	Flying	0.3m	5.5 kg	Honey Gather	Hustle	30	30	42	30	42	70	244				Description not available yet	4					
256	Combusken	Young Fowl Pokemon	Fire	Fighting	0.9m	19.5 kg	Blaze	Speed Boost	60	85	60	85	60	55	405				Description not available yet	3					
764	Comfey	Posy Picker Pokemon	Fairy		0.1m	0.3 kg	Flower Veil	Triage	51	52	90	82	110	100	485				Description not available yet	7	Natural Cure				
534	Conkeldurr	Muscular Pokemon	Fighting		1.4m	87 kg	Guts	Sheer Force	105	140	95	55	65	45	505				Description not available yet	5	Iron Fist				
341	Corphish	Ruffian Pokemon	Water		0.6m	11.5 kg	Hyper Cutter	Shell Armor	43	80	65	50	35	35	308				Description not available yet	3	Adaptability				
222	Corsola	Coral Pokemon	Water	Rock	0.6m	5 kg	Hustle	Natural Cure	65	55	95	65	95	35	410				Description not available yet	2	Regenerator				
790	Cosmoem	Protostar Pokemon	Psychic		0.1m	999.9 kg	Sturdy		43	29	131	29	131	37	400				Description not available yet	7					
789	Cosmog	Nebula Pokemon	Psychic		0.2m	0.1 kg	Unaware		43	29	31	29	31	37	200				Description not available yet	7					
546	Cottonee	Cotton Puff Pokemon	Grass	Fairy	0.3m	0.6 kg	Prankster	Infiltrator	40	27	60	37	50	66	280				Description not available yet	5	Chlorophyll				
740	Crabominable	Woolly Crab Pokemon	Fighting	Ice	1.7m	180 kg	Hyper Cutter	Iron Fist	97	132	77	62	67	43	478				Description not available yet	7	Anger Point				
739	Crabrawler	Boxing Pokemon	Fighting		0.6m	7 kg	Hyper Cutter	Iron Fist	47	82	57	42	47	63	338				Description not available yet	7	Anger Point				
346	Cradily	Barnacle Pokemon	Rock	Grass	1.5m	60.4 kg	Suction Cups	Storm Drain	86	81	97	81	107	43	495				Description not available yet	3					
408	Cranidos	Head Butt Pokemon	Rock		0.9m	31.5 kg	Mold Breaker	Sheer Force	67	125	40	30	30	58	350				Description not available yet	4					
342	Crawdaunt	Rogue Pokemon	Water	Dark	1.1m	32.8 kg	Hyper Cutter	Shell Armor	63	120	85	90	55	55	468				Description not available yet	3	Adaptability				
488	Cresselia	Lunar Pokemon	Psychic		1.5m	85.6 kg	Levitate		120	70	120	75	130	85	600				Description not available yet	4					
453	Croagunk	Toxic Mouth Pokemon	Poison	Fighting	0.7m	23 kg	Anticipation	Dry Skin	48	61	40	61	40	50	300				Description not available yet	4	Poison Touch				
169	Crobat	Bat Pokemon	Poison	Flying	1.8m	75 kg	Inner Focus	Infiltrator	85	90	80	70	80	130	535				Description not available yet	2					
159	Croconaw	Big Jaw Pokemon	Water		1.1m	25 kg	Torrent	Sheer Force	65	80	80	59	63	58	405				Description not available yet	2					
558	Crustle	Stone Home Pokemon	Bug	Rock	1.4m	200 kg	Sturdy	Shell Armor	70	105	125	65	75	45	485				Description not available yet	5	Weak Armor				
615	Cryogonal	Crystallizing Pokemon	Ice		1.1m	148 kg	Levitate		80	50	50	95	135	105	515				Description not available yet	5					
613	Cubchoo	Chill Pokemon	Ice		0.5m	8.5 kg	Snow Cloak	Slush Rush	55	70	40	60	40	40	305				Description not available yet	5	Rattled				
104	Cubone	Lonely Pokemon	Ground		0.41m	6.5 kg	Lightning Rod	Rock Head	50	50	95	40	50	35	320	Cubone	Marowak		When it thinks of its dead mother, it cries. Its crying makes the skull it wears rattle hollowly.	1	Battle Armor				
742	Cutiefly	Bee Fly Pokemon	Bug	Fairy	0.1m	0.2 kg	Honey Gather	Shield Dust	40	45	40	55	40	84	304				Description not available yet	7	Sweet Veil				
155	Cyndaquil	Fire Mouse Pokemon	Fire		0.5m	7.9 kg	Blaze	Flash Fire	39	52	43	60	50	65	309				Description not available yet	2					
491	Darkrai	Pitch-Black Pokemon	Dark		1.5m	50.5 kg	Bad Dreams		70	90	90	135	90	125	600				Description not available yet	4					
555	Darmanitan	Blazing Pokemon	Fire	Fire	1.3m	92.9 kg	Sheer Force	Zen Mode	105	30	105	140	105	55	540				Description not available yet	5					
723	Dartrix	Blade Quill Pokemon	Grass	Flying	0.7m	16 kg	Overgrow	Long Reach	78	75	75	70	70	52	420				Description not available yet	7					
554	Darumaka	Zen Charm Pokemon	Fire		0.6m	37.5 kg	Hustle	Inner Focus	70	90	45	15	45	50	315				Description not available yet	5					
724	Decidueye	Arrow Quill Pokemon	Grass	Ghost	1.6m	36.6 kg	Overgrow	Long Reach	78	107	75	100	100	70	530				Description not available yet	7					
702	Dedenne	Antenna Pokemon	Electric	Fairy	0.2m	2.2 kg	Cheek Pouch	Pickup	67	58	57	81	67	101	431				Description not available yet	6	Plus				
585	Deerling	Season Pokemon	Normal	Grass	0.6m	19.5 kg	Chlorophyll	Sap Sipper	60	60	50	40	50	75	335				Description not available yet	5	Serene Grace				
633	Deino	Irate Pokemon	Dark	Dragon	0.8m	17.3 kg	Hustle		52	65	50	45	50	38	300				Description not available yet	5					
301	Delcatty	Prim Pokemon	Normal		1.1m	32.6 kg	Cute Charm	Normalize	70	65	65	55	55	90	400				Description not available yet	3	Wonder Skin 				
225	Delibird	Delivery Pokemon	Ice	Flying	0.9m	16 kg	Vital Spirit	Hustle	45	55	45	65	45	75	330				Description not available yet	2	Insomnia				
655	Delphox	Fox Pokemon	Fire	Psychic	1.5m	39 kg	Blaze	Magician	75	69	72	114	100	104	534				Description not available yet	6					
386	Deoxys	DNA Pokemon	Psychic		1.7m	60.8 kg	Pressure		50	95	90	95	90	180	600				Description not available yet	3					
087	Dewgong	Sea Lion Pokemon	Water	Ice	1.70m	120.0 kg	Hydration	Thick Fat	90	70	80	70	95	70	475	Seel	Dewgong		Its streamlined body has low resistance, and it swims around cold oceans at a speed of eight knots.	1	Ice Body				
502	Dewott	Discipline Pokemon	Water		0.8m	24.5 kg	Torrent	Shell Armor	75	75	60	83	60	60	413				Description not available yet	5					
751	Dewpider	Water Bubble Pokemon	Water	Bug	0.3m	4 kg	Water Bubble	Water Absorb	38	40	52	40	72	27	269				Description not available yet	7					
781	Dhelmise	Sea Creeper Pokemon	Ghost	Grass	3.9m	210 kg	Steelworker		70	131	100	86	90	40	517				Description not available yet	7					
483	Dialga	Temporal Pokemon	Steel	Dragon	5.4m	683 kg	Pressure	Telepathy	100	120	120	150	100	90	680				Description not available yet	4					
719	Diancie	Jewel Pokemon	Rock	Fairy	0.7m	8.8 kg	Clear Body		50	160	110	160	110	110	700				Description not available yet	6					
660	Diggersby	Digging Pokemon	Normal	Ground	1m	42.4 kg	Pickup	Cheek Pouch	85	56	77	50	77	78	423				Description not available yet	6	Huge Power				
050	Diglett	Mole Pokemon	Ground		0.20m	0.8 kg	Arena Trap	Sand Veil	10	55	25	35	45	95	265	Diglett	Dugtrio		A Pokemon that lives underground. Because of its dark habitat, it is repelled by bright sunlight.	1	Sand Force				
132	Ditto	Transform Pokemon	Normal		0.30m	4.0 kg	Limber	Imposter	48	48	48	48	48	48	288				It can reconstitute its entire cellular structure to change into what it sees, but it returns to normal when it relaxes.	1					
085	Dodrio	Triple Bird Pokemon	Normal	Flying	1.80m	85.2 kg	Early Bird	Run Away	60	110	70	60	60	100	460	Doduo	Dodrio		When Doduo evolves into this odd breed, one of its heads splits into two. It runs at nearly 40 mph.	1	Tangled Feet				
084	Doduo	Twin Bird Pokemon	Normal	Flying	1.40m	39.2 kg	Early Bird	Run Away	35	85	45	35	35	75	310	Doduo	Dodrio		The brains in its two heads appear to communicate emotions to each other with a telepathic power.	1	Tangled Feet				
232	Donphan	Armor Pokemon	Ground		1.1m	120 kg	Sturdy	Sand Veil	90	120	120	60	60	50	500				Description not available yet	2					
680	Doublade	Sword Pokemon	Steel	Ghost	0.8m	4.5 kg	No Guard		59	110	150	45	49	35	448				Description not available yet	6					
691	Dragalge	Mock Kelp Pokemon	Poison	Dragon	1.8m	81.5 kg	Poison Point	Poison Touch	65	75	90	97	123	44	494				Description not available yet	6	Adaptability				
148	Dragonair	Dragon Pokemon	Dragon		3.99m	16.5 kg	Shed Skin	Marvel Scale	61	84	65	70	70	70	420	Dratini	Dragonair	Dragonite	If its body takes on an aura, the weather changes instantly. It is said to live in seas and lakes.	1					
149	Dragonite	Dragon Pokemon	Dragon	Flying	2.21m	210.0 kg	Inner Focus	Multiscale	91	134	95	100	100	80	600	Dratini	Dragonair	Dragonite	It is said to make its home somewhere in the sea. It guides crews of shipwrecks to shore.	1					
780	Drampa	Placid Pokemon	Normal	Dragon	3m	185 kg	Berserk	Sap Sipper	78	60	85	135	91	36	485				Description not available yet	7	Cloud Nine				
